ANIO,MES,AREA,ESTRATO,LLAVE_PANEL,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2023,07,1,1,202307033892007711,03389,2,0077,1,1,1,1,2, ,1,42,1,1,4,2,1981,1, , , , , , , , , , , , , , , ,2330,8521,3,2, , ,5,9998,0,5,5,5,5,5,0,25,5,30,1, ,1,1,1,1,4,2600, , , ,400, , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,9,5, ,2,2,2,2,2,2,10,9,1, , , , ,100,2600, ,400, ,3000,2600,3100,1,316.165629166046
2023,07,1,1,202307033892007712,03389,2,0077,1,3,6,1,1, ,2,86, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
2023,07,1,1,202307033892007714,03389,2,0077,1,2,3,1,2, ,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,07,1,1,20230703670012001711,0367001,2,0017,1,1,1,1,2, ,1,38,1,1,28,12,1984,1, , , , , , , , , , , , , , , ,9333,5224,2, ,3,2,1,1,0,7,0,0,0,7,0,14, ,14,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4, ,6,2,2,2,2,2,2,10,5,1, , , , , , ,346, , ,346,346,346,1,244.723164949152
2023,07,1,1,202307033892007611,03389,2,0076,1,1,1,1,2, ,1,30,1,1,13,12,1992,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,1,7,0,8,8,8,8,8,7,47,9,56,1, ,1,1,1,1,2,400, , , , , ,160, , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,10,7,1, , , , , ,1732, , ,160,1892,1732,1892,1,316.47158077041
2023,07,1,1,202307033892007612,03389,2,0076,1,2,2,1,2, ,2,31,2,2,5,10,1991,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,325.024886691101
2023,07,1,1,202307033892007613,03389,2,0076,1,3,3,1,2, ,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,07,1,1,20230703670012001611,0367001,2,0016,1,1,1,1,2, ,1,71,1,1,28,1,1952,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2, ,6122,0146,2, ,3,2,1,2,1,1,1,1,1,1,1,7, ,7,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,2, ,2,2,2,2,2,2,10,6,1, ,21, , , , ,2, , ,23,23,23,1,149.171914863388
2023,07,1,1,20230703670012001612,0367001,2,0016,1,2,2,1,2, ,2,73,2,2,4,1,1950,1, , , , , , , , , , , , , , , ,9211,0146,4, ,3,2,1,2,1,1,1,1,1,1,1,7, , ,1, ,2, , , , , , , , , , , , ,2,5,2, , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,3, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,127.217329723954
2023,07,1,1,20230703670012001613,0367001,2,0016,1,3,3,1,2, ,1,40,3,2,12,1,1983,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2, , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,1,2,10,9,4, , , , , , , , , , , , ,1,168.272525847958
