ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CODCIUDAD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2023,10,0349401,2,0111,1,1,20231003494012011111,25,1,1,1,1,2, ,1,54,1,1,11,11,1968,1, , , , , , , , , , , , , , , ,5213,4782,1, ,2,1,1,2,7,12,12,12,12,12,12,79, ,89,2,89,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,2,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , , ,250, , ,250,250,250,1,216.268250873273
2023,10,0349401,2,0113,1,1,20231003494012011311,25,1,1,1,1,2, ,2,61,1,1,17,3,1962,1, , , , , , , , , , , , , , , ,7513,1071,2, ,2,2,1,1,0,0,0,0,6,6,0,12, ,24,2,24,1,1,1,2, , , , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,4,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,8,1, , , , , , ,2646, , ,2646,2646,2646,1,217.383898008926
2023,10,0349401,2,0113,1,1,20231003494012011312,25,1,2,3,1,2, ,2,33,2,2,16,9,1990,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,7,1,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1,279.269117825491
2023,10,0349401,2,0113,1,1,20231003494012011313,25,1,3,3,1,2, ,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,0349401,2,0114,1,1,20231003494012011411,25,1,1,1,1,2, ,2,35,1,1,3,6,1988,1, , , , , , , , , , , , , , , ,2411,8411,3,2, , ,5,9998,0,7,7,7,7,7,0,35, ,35,1, ,1,1,1,2,4,5200, , , , , , , , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,12,2, ,2,2,2,2,2,2,10,7,1, , , , ,1949,5200, , , ,5200,5200,7149,1,279.269117825491
2023,10,0349401,2,0114,1,1,20231003494012011412,25,1,2,7,1,2, ,2,28,2,2,16,1,1995,1, , , , , , , , , , , , , , , ,4321,4100,3,5,1, ,1,15,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,1900, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , , ,1900, , , ,1900,1900,1900,1,279.269117825491
2023,10,0349401,2,0114,1,1,20231003494012011413,25,1,3,8,1,2, ,1,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,03691,2,0077,1,1,202310036912007711,25,1,1,1,1,2, ,1,51,1,1,20,12,1971,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,5,10,10,10,10,10,10,65, ,65,1, ,2, ,2,1, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , , ,1667, , ,1667,1667,1667,1,193.734259254551
2023,10,03691,2,0077,1,1,202310036912007712,25,1,2,2,1,2, ,2,56,2,2,12,5,1967,1, , , , , , , , , , , , , , , ,5212,4711,2, ,3,2,1,3,0,4,4,4,4,4,4,24, ,24,1, ,1,2,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,6,1, ,606, , , , ,210, , ,816,816,816,1,194.733661943306
2023,10,03691,2,0077,1,1,202310036912007713,25,1,3,3,1,1, ,1,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
