ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CODCIUDAD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2023,10,12131,1,0040,1,2,202207121311004012,03,1,1,1,1,2, ,2,79,1,1,6,6,1944,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,4,2, ,2, ,5,3, ,1,1,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,169.245780580326
2023,10,12131,1,0040,1,2,202307121311004012,03,1,2,3,1,2, ,1,60,2,2,3,8,1963,1, , , , , , , , , , , , , , , ,3439,9000,1, ,3,2,1,3,0,0,0,3,3,3,3,12,40,52,1, ,2, ,2,2, , , , , , , ,2500, , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,10,2, ,2,2,2,2,2,2,10,7,1, , , , , , ,2264, ,2500,4764,2264,4764,1,211.172213745343
2023,10,12131,1,0040,1,2,202310121311004014,03,1,3,4,1,2, ,2,59,3,3,29,1,1964,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,169.245780580326
2023,10,12137,1,0065,1,2,202207121371006511,03,1,1,1,1,2, ,1,58,1,1,20,11,1964,1, , , , , , , , , , , , , , , ,2330,8521,3,2, , ,5,9998,0,6,6,6,6,6,0,30, ,30,1, ,2, ,2,2,4,2150, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,11,5, ,2,2,2,2,2,2,10,8,1, , , , ,271,2150, , , ,2150,2150,2421,1,227.69754627965
2023,10,12137,1,0065,1,2,202207121371006512,03,1,2,2,1,2, ,2,35,2,2,31,8,1988,1, , , , , , , , , , , , , , , ,5212,4721,2, ,3,2,1,1,0,0,0,0,4,4,4,12, ,40,2,40,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, ,43, , , , ,196, , ,239,239,239,1,198.520511025937
2023,10,12137,1,0065,1,2,202207121371006513,03,1,3,3,1,2, ,2,16,3,3,14,6,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,290.81542920808
2023,10,12137,1,0065,1,2,202207121371006514,03,1,4,3,1,2, ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,12137,1,0066,1,2,202207121371006611,03,1,1,1,1,2, ,1,49,1,1,12,8,1974,1, , , , , , , , , , , , , , , ,3314,4100,3,5,1, ,1,8,0,8,8,8,8,8,8,48, ,48,1, ,1,1,1,2,4,1025, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,10,3, ,2,2,2,2,2,2,10,7,1, , , , ,340,1025, , , ,1025,1025,1365,1,227.69754627965
2023,10,12137,1,0069,1,2,202207121371006911,03,1,1,1,1,2, ,2,68,1,1,10,1,1955,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,1,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,182.490149972082
2023,10,12137,1,0069,1,2,202207121371006912,03,1,2,3,1,2, ,2,42,2,2,21,10,1980,1, , , , , , , , , , , , , , , ,9535,4782,2, ,3,2,1,1,9,7,7,7,7,7,7,51, ,51,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,8,1, ,43, , , , ,100, , ,143,143,143,1,198.520511025937
2023,10,12137,1,0069,2,2,202207121371006921,03,1,1,1,1,2, ,2,51,1,1,22,11,1971,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2, ,9112,8121,2, ,3,2,1,1,0,0,6,0,6,0,0,12, ,12,1, ,1,1,1,1, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,8,1, , , , , , ,345, , ,345,345,345,1,182.490149972082
2023,10,12137,1,0069,2,2,202207121371006922,03,1,2,3,1,2, ,1,16,2,2,24,8,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,8,4, , , , , , , , , , , , ,1,269.475837643107
2023,10,12137,1,0069,3,2,202207121371006931,03,1,1,1,1,2, ,2,47,1,1,22,7,1976,1, , , , , , , , , , , , , , , ,9211,123,3,5,3,2,1,20,0,8,5,8,8,8,8,45, ,45,1, ,1,1,1,2,2,180, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , ,779, , , ,779,779,779,1,182.490149972082
2023,10,12137,1,0069,3,2,202207121371006932,03,1,2,3,1,2, ,2,20,2,2,6,5,2003,1, , , , , , , , , , , , , , , ,4417,6920,8,5,1, ,1,6,0,6,6,6,5,5,5,33, ,33,1, ,2, ,2,2,5, , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,2, ,2,2,2,2,2,2,10,7,1, , , , , , , , , ,0,0,0,1,264.566240364096
