ANIO,MES,AREA,ESTRATO,LLAVE_PANEL,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2023,07,1,2,202307013372002411,01337,2,0024,1,1,1,1,2, ,1,59,1,1,3,10,1963,1, , , , , , , , , , , , , , , ,9621,4661,4, ,1, ,1,4,6,10,10,10,10,10,10,66, ,66,1, ,2, ,2, , , , , , , , , , , , , , , , , ,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,2, ,2,2,2,2,2,2,10,7,1, , , , , , , , , ,0,0,0,1,189.545486278687
2023,07,1,2,202307013372002412,01337,2,0024,1,2,2,1,2, ,2,51,2,2,20,8,1971,1, , , , , , , , , , , , , , , ,3314,4661,1, ,1, ,1,4,5,11,11,11,11,11,11,71, ,71,1, ,2, ,2,1, , , ,1000,48, , , , , , , , , , , ,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,2,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,1, ,48, , , , ,1000, , ,1048,1048,1048,1,168.873124531681
2023,07,1,2,202307013372002413,01337,2,0024,1,3,3,1,2, ,1,23,3,3,1,4,2000,1, , , , , , , , , , , , , , , ,9629,3510,3,5,1, ,2,40,0,8,8,8,8,8,8,48, ,48,1, ,1,1,1,1,4,1400,400, , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,800, , , , ,1400, , , ,2200,2200,2200,1,232.780840717348
2023,07,1,2,202307013372002414,01337,2,0024,1,4,3,1,2, ,1,15,4,4,5,3,2008,1, , , , , , , , , , , , , , , ,5223,4661,4, ,1, ,1,4,2,0,0,0,0,0,2,4, , ,1, ,2, , , , , , , , , , , , ,2,4,2, , , , ,2,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,2, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,223.378731147004
2023,07,1,2,202307013372002415,01337,2,0024,1,5,3,1,2, ,1,31,5,5,7,10,1991,1, , , , , , , , , , , , , , , ,2512,5320,3,5,2,2,1,8,6,12,10,11,10,10,12,71, ,71,1, ,2, ,2,2,4,1500, , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , , ,1500, , , ,1500,1500,1500,1,279.847419460075
2023,07,1,2,202307013372002416,01337,2,0024,1,6,4,1,2, ,2,30,6,6,9,8,1992,1, , , , , , , , , , , , , , , ,3314,5320,1, ,2,1,1,8,0,6,0,6,0,6,6,24,4,28,1, ,1,1,1,2, , , , , ,35, , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,8,1, , , , , , ,1000,35, ,1035,1000,1035,1,252.946159614556
2023,07,1,2,202307016912012311,01691,2,0123,1,1,1,1,2, ,2,80,1,1,11,2,1943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,1,2, , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1, , ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,183.493416722448
2023,07,1,2,202307016912012312,01691,2,0123,1,2,3,1,2, ,2,60,2,2,2,3,1963,1, , , , , , , , , , , , , , , ,9612,3811,2, ,3,2,1,1,0,8,0,0,0,0,6,14, ,14,1, ,1,2,2,2, , , , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,3, ,2,2,2,2,2,2,10,5,1, , , , , , ,217, , ,217,217,217,1,183.493416722448
2023,07,1,2,202307016912012314,01691,2,0123,1,3,3,1,2, ,1,41,3,3,15,4,1982,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,1,2,0,0,8,8,0,0,0,16, ,45,2,45,1,1,1,2,2,140,28, , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1,121, , , , ,606, , , ,727,727,727,1,278.397280293609
2023,07,1,2,202307016912012315,01691,2,0123,1,4,4,1,2, ,2,27,4,4,11,1,1996,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,6,4, , , , , , , , , , , , ,1,180.793257670235
