ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CODCIUDAD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2023,10,01324,2,0067,1,2,202310013242006711,39,1,1,1,1,2, ,1,56,1,1,10,5,1967,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,0,17,0,17,0,17,0,51, ,51,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,11,5, ,2,2,2,2,2,2,10,6,1, , , , , , ,919, , ,919,919,919,1,198.361921628493
2023,10,01324,2,0067,1,2,202310013242006712,39,1,2,2,1,2, ,2,58,2,2,24,1,1965,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,6,2,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,6,2, , , , , , , , , , , , ,1,176.218647033372
2023,10,01324,2,0067,1,2,202310013242006713,39,1,3,3,1,2, ,1,19,3,3,2,8,2004,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2, ,9622,4721,3,5,3,2,1,2,0,0,0,1,0,1,0,2, ,2,1, ,2, ,2,2,2,40, , , , , , , , , , , , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,7,1, , , , , ,173, , , ,173,173,173,1,245.517145869185
2023,10,01324,2,0067,1,2,202310013242006714,39,1,4,3,1,2, ,2,16,4,4,26,1,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,2,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,239.801619363392
2023,10,01324,2,0067,1,2,202310013242006715,39,1,5,3,1,2, ,2,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,01324,2,0180,1,2,202310013242018011,39,1,1,1,1,2, ,1,56,1,1,27,12,1966,1, , , , , , , , , , , , , , , ,7355,1392,2, ,2,2,1,1,0,0,0,0,0,0,2,2, ,50,2,50,1,1,1,2, , , , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , , ,620, , ,620,620,620,1,208.311235123233
2023,10,01324,2,0180,1,2,202310013242018012,39,1,2,2,1,2, ,2,58,2,2,27,3,1965,1, , , , , , , , , , , , , , , ,2342,8510,3,2, , ,5,9998,0,5,5,5,5,5,0,25,8,33,1, ,2, ,2,2,4,2250, , , , , ,120,50, , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , ,50,83,2250, , ,120,2420,2250,2503,1,176.218647033372
2023,10,01324,2,0180,1,2,202310013242018013,39,1,3,3,1,2, ,1,33,3,1,4,5,1990,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2, , , , ,2,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1, , ,2,2,1,1,1,1,10,7,4, , , , , , , , , , , , ,1,164.225270530183
2023,10,01324,2,0180,1,2,202310013242018014,39,1,4,3,1,2, ,1,26,4,4,5,10,1996,1, , , , , , , , , , , , , , , ,3314,5610,1, ,1, ,1,6,8,8,0,8,8,8,8,48,24,72,1, ,2, ,2,2, , , ,2000, ,700,40, , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , ,173, ,150, ,2000,700, ,2873,2000,3023,1,263.805723729723
2023,10,01688,5,0302,1,2,202310016885030211,39,1,1,1,1,2, ,1,43,1,1,16,8,1980,1, , , , , , , , , , , , , , , ,2642,9000,2, ,2,2,1,1,0,4,4,4,4,4,0,20, ,20,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , , , ,1260, , ,1260,1260,1260,1,483.223277407223
