ANIO,MES,AREA,ESTRATO,LLAVE_PANEL,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2022,04,1,1,202204103821003911,10382,1,0039,1,1,1,1,2, ,1,55,1,1,19,6,1966,1, , , , , , , , , , , , , , , ,2330,8521,3,2, , ,5,9998,0,8,8,8,8,8,5,45, ,45,1, ,2, ,2,2,4,3500, , , , , , , , , , , , , , ,2,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , ,83,3500, , , ,3500,3500,3583,1,214.418445698213
2022,04,1,1,202204103821003912,10382,1,0039,1,2,2,1,2, ,2,56,2,2,23,12,1965,1, , , , , , , , , , , , , , , ,2330,8521,3,2, , ,5,9998,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,3200, , , , , , , , , , , , , , ,2,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , ,83,3200, , , ,3200,3200,3283,1,189.248981803099
2022,04,1,1,202204103821003913,10382,1,0039,1,3,3,1,2, ,2,26,3,3,20,9,1995,1, , , , , , , , , , , , , , , ,5120,5630,2, ,3,2,1,1,5,2,2,2,1,1,1,14, ,14,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,2, ,1,4,2, ,2, ,2, ,2, ,2, ,2, ,10,6, ,2,2,2,2,2,2,10,7,1, ,10, , , , ,15, , ,25,25,25,1,283.474338990673
2022,04,1,1,202204103821003914,10382,1,0039,1,4,3,1,2, ,1,24,4,4,3,12,1997,1, , , , , , , , , , , , , , , ,4417,9411,3,5,1, ,3,80,0,8,8,8,8,8,5,45, ,45,1, ,2, ,2,2,4,2200, , , , , , , , , , , , , , ,2,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,6, ,2,2,2,2,2,2,10,7,1, , , , ,366,2200, , , ,2200,2200,2566,1,280.161495207089
2022,04,1,1,20220410383021000211,1038302,1,0002,1,1,1,1,2, ,2,53,1,1,10,11,1968,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,2, , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,8,3, , , , , , , , , , , , ,1,166.095308551704
2022,04,1,1,20220410383021000212,1038302,1,0002,1,2,3,1,2, ,1,27,2,2,30,11,1994,1, , , , , , , , , , , , , , , ,3123,8411,3,2, , ,5,9998,0,5,5,5,5,5,2,27, ,27,1, ,2, ,2,2,4,4000, , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , , ,4000, , , ,4000,4000,4000,1,244.839703364088
2022,04,1,1,20220410383021000213,1038302,1,0002,1,3,3,1,2, ,2,18,3,3,21,6,2003,1, , , , , , , , , , , , , , , ,3334,6820,3,5,2,2,1,4,0,8,8,8,8,8,5,45, ,45,1, ,2, ,2,1,4,1200,200, , , , , , , , , , , , , ,2,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,7,1,867, , , , ,1200, , , ,2067,2067,2067,1,286.910293193674
2022,04,1,1,20220410383021000214,1038302,1,0002,1,4,3,1,2, ,2,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,04,1,1,20220410383021000511,1038302,1,0005,1,1,1,1,2, ,1,68,1,1,5,9,1953,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2, , , , ,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,9,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,188.185399826419
2022,04,1,1,20220410383021000512,1038302,1,0005,1,2,2,1,2, ,2,64,2,2,20,3,1958,1, , , , , , , , , , , , , , , ,2221,8610,3,2, , ,5,9998,0,0,12,8,5,12,0,37, ,37,1, ,2, ,2,2,4,4500, , , , , , , , , , , , , , ,2,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , ,83,4500, , , ,4500,4500,4583,1,158.567529996079
