ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CODCIUDAD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2023,10,00038,6,0044,1,3,202207000386004411,48,1,1,1,1,2, ,1,37,1,1,18,1,1986,1, , , , , , , , , , , , , , , ,8321,4922,2, ,3,2,1,1,5,6,6,7,7,8,8,47, ,47,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , , ,1440, , ,1440,1440,1440,1,48.0889081660072
2023,10,00038,6,0044,1,3,202207000386004412,48,1,2,2,1,2, ,2,34,2,2,19,4,1989,1, , , , , , , , , , , , , , , ,7513,1071,2, ,3,2,1,2,3,5,5,6,5,6,6,36,8,44,1, ,2, ,2,2, , , , , , , ,200,20, , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1, ,22, ,20, , ,575, ,200,817,597,817,1,29.5646500863881
2023,10,00038,6,0044,1,3,202207000386004413,48,1,3,3,1,2, ,2,16,3,3,1,7,2007,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2, ,9549,4789,2, ,3,2,1,2,0,2,2,2,1,1,2,10,13,23,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,8,1, , , , , , ,100, , ,100,100,100,1,29.8014377460419
2023,10,00038,6,0044,1,3,202207000386004414,48,1,4,3,1,2, ,1,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,00038,6,0044,1,3,202307000386004415,48,1,5,6,1,2, ,2,65,5,5,19,5,1958,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2, ,9412,5610,3,5,3,3,1,2,0,4,4,4,4,4,0,20, ,20,1, ,2, ,2,2,2,100,15, , , , , , , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,5,1,65, , , , ,433, , , ,498,498,498,1,25.6082139127018
2023,10,00038,6,0045,1,3,202207000386004511,48,1,1,1,1,2, ,1,71,1,1,14,10,1951,1, , , , , , , , , , , , , , , ,5212,4711,2, ,2,2,1,2,8,10,10,8,10,13,10,69, ,69,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,11,5, ,2,2,2,2,2,2,10,6,1, ,900, , , , ,1371, , ,2271,2271,2271,1,24.1911347865695
2023,10,00038,6,0045,1,3,202207000386004512,48,1,2,2,1,2, ,2,73,2,2,12,3,1950,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, ,5223,4711,4, ,2,3,1,2,0,2,2,2,2,2,0,10, , ,1, ,2, , , , , , , , , , , , ,2,5,2, , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,8,4, , , , , , , , , , , , ,1,24.2640238294918
2023,10,00038,6,0045,1,3,202207000386004513,48,1,3,3,1,2, ,1,26,3,3,3,11,1996,1, , , , , , , , , , , , , , , ,8321,4922,2, ,3,2,1,1,5,8,8,7,6,8,10,52, ,52,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,5,1, , , , , , ,1454, , ,1454,1454,1454,1,35.6363430625263
2023,10,00040,5,0081,1,3,202310000405008111,48,1,1,1,1,2, ,1,81,1,1,8,1,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2, , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,32.8188322505803
2023,10,00040,5,0081,1,3,202310000405008112,48,1,2,2,1,2, ,2,82,2,1,27,10,1940,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2, , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,9,3, ,2,2,2,2,1,1,10,7,4, , , , , , , , , , , , ,1,25.0846952132149
